"MARKET_CD","MARKET_NM","HSN_CD","HSN_NM","TOWN_CD","TOWN_NM","ROAD_CD","ROAD_NM","STORE_CD","STORE_NM","ADDR","ISOPEN","ZIP_CD"
"FM","全家便利商店","T","屏東縣","269","屏東市","","","8320","屏東民榮店","屏東縣屏東市民生路１２－２．１２－３號","Y","900"
"FM","全家便利商店","C","基隆市","14","信義區","","","13384","基隆新澳坑店","基隆市信義區深澳坑路１０７號","Y","201"
"FM","全家便利商店","H","桃園市","86","蘆竹區","","","4415","蘆竹奉順店","桃園市蘆竹區奉化路１０６號","Y","338"
"FM","全家便利商店","B","臺中市","124","沙鹿區","","","3962","沙鹿正德店","台中市沙鹿區屏西路９８號","Y","433"
"FM","全家便利商店","O","新竹市","63","東區","","","4549","新竹竹科店","新竹市東區科學工業園區竹村七路７號１樓","Y","300"
"FM","全家便利商店","B","臺中市","108","西屯區","","","4488","台中福美店","台中市西屯區西安街９１號，西屯區烈美街１７１號１樓","Y","407"
"FM","全家便利商店","K","苗栗縣","95","造橋鄉","","","2331","造橋朝陽店","苗栗縣造橋鄉朝陽村朝陽路１２７號","Y","361"
"FM","全家便利商店","P","雲林縣","183","斗南鎮","","","8103","斗南大業店","雲林縣斗南鎮小東里５鄰大業路２４３號１樓","Y","630"
"FM","全家便利商店","A","臺北市","8","士林區","","","9229","天山店","台北市士林區天母東路６９巷１１之９號１樓","Y","111"
"FM","全家便利商店","F","新北市","41","泰山區","","","2896","泰山黎明店","新北市泰山區泰林路二段５７５號、５７７號１樓","Y","243"
"FM","全家便利商店","A","臺北市","1","中正區","","","14051","新廈門店","台北市中正區汀州路二段３８號１樓","Y","100"
"FM","全家便利商店","A","臺北市","8","士林區","","","13189","新文大店","台北市士林區華岡路５５號","Y","111"
"FM","全家便利商店","E","高雄市","250","鳳山區","","","7048","鳳山凱旋店","高雄市鳳山區凱旋路２６５號","Y","830"
"FM","全家便利商店","E","高雄市","231","鹽埕區","","","10717","高雄福王店","高雄市鹽埕區五福四路７２號","Y","803"
"FM","全家便利商店","F","新北市","40","新莊區","","","14337","新莊新福義店","新北市新莊區福壽街１３２號１樓","Y","242"
"FM","全家便利商店","B","臺中市","110","太平區","","","3321","太平新平店","台中市太平區新平路三段３４７號","Y","411"
"FM","全家便利商店","E","高雄市","251","大寮區","","","11997","大發仁愛店","高雄市大寮區仁愛路２２號","Y","831"
"FM","全家便利商店","T","屏東縣","278","萬丹鄉","","","14487","萬丹萬鑫店","屏東縣萬丹鄉萬丹路一段３６７號","Y","913"
"FM","全家便利商店","U","花蓮縣","308","新城鄉","","","14488","新城北埔店","花蓮縣新城鄉北埔路１５９號一樓","Y","971"
"FM","全家便利商店","F","新北市","34","中和區","","","14485","中和錦福店","新北市中和區錦和路９５號１樓","Y","235"
"FM","全家便利商店","A","臺北市","5","大安區","","","14482","通昌店","台北市大安區文昌街１４２號壹樓全部","Y","106"
"FM","全家便利商店","G","宜蘭縣","54","羅東鎮","","","14481","羅東站前店","宜蘭縣羅東鎮公正路６１號","Y","265"
"FM","全家便利商店","E","高雄市","260","茄萣區","","","8370","茄萣白砂崙店","高雄市茄萣區白砂路２４３號１樓","Y","852"
"FM","全家便利商店","F","新北市","34","中和區","","","12618","中和錦順店","新北市中和區圓通路３９５號１樓","Y","235"
"FM","全家便利商店","I","嘉義市","168","西區","","","8504","嘉義玉山店","嘉義市西區世賢路二段４６８號","Y","600"
"FM","全家便利商店","F","新北市","23","板橋區","","","412","板橋四維店","新北市板橋區四維路１８０號","Y","220"
"FM","全家便利商店","H","桃園市","75","中壢區","","","9108","中壢元權店","桃園市中壢區民權路３４０號１樓。２樓","Y","320"
"FM","全家便利商店","A","臺北市","6","萬華區","","","15246","萬中店","台北市萬華區漢口街二段２２號","Y","108"
"FM","全家便利商店","B","臺中市","120","潭子區","","","9671","潭子潭興店","台中市潭子區潭興路二段４７６號１樓","Y","427"
"FM","全家便利商店","H","桃園市","82","龜山區","","","4471","龜山幸福店","桃園市龜山區幸福一街２４號１樓","Y","333"
"FM","全家便利商店","B","臺中市","108","西屯區","","","4685","台中樂活店","台中市西屯區大墩１９街１８號、２０號、２２號１樓","Y","407"
"FM","全家便利商店","N","彰化縣","135","鹿港鎮","","","3138","鹿港天后店","彰化縣鹿港鎮玉順里後寮巷９２號１樓","Y","505"
"FM","全家便利商店","B","臺中市","104","南區","","","4231","台中興美店","台中市南區復興路二段９９巷１８號","Y","402"
"FM","全家便利商店","N","彰化縣","147","田中鎮","","","4687","田中新生店","彰化縣田中鎮員集路二段５６６號","Y","520"
"FM","全家便利商店","B","臺中市","121","大雅區","","","3125","大雅雅環店","台中市大雅區大雅村２９鄰雅環路二段１，３號１樓","Y","428"
"FM","全家便利商店","F","新北市","23","板橋區","","","11459","板橋新遠店","新北市板橋區四川路一段３７１號１樓","Y","220"
"FM","全家便利商店","A","臺北市","5","大安區","","","4559","懷生店","台北市大安區復興南路１段７０號","Y","106"
"FM","全家便利商店","F","新北市","34","中和區","","","12448","中和興國店","新北市中和區國光街１０４號１樓","Y","235"
